section,key,value
batch:batch-46,queue_wait_time,0.0
batch:batch-46,processing_time,4.0
batch:batch-46,stages_count,3
batch:batch-46,completed,False
batch:batch-46,rejected,True
batch:batch-46,waited_in_queue,False
batch:batch-46,status,rejected
batch:batch-47,batch_id,batch-47
batch:batch-47,cycle_time,66.0
batch:batch-47,queue_wait_time,0.0
batch:batch-47,processing_time,16.0
batch:batch-47,stages_count,3
batch:batch-47,completed,True
batch:batch-47,rejected,False
batch:batch-47,waited_in_queue,True
batch:batch-47,status,completed
batch:batch-48,batch_id,batch-48
batch:batch-48,cycle_time,5.0
batch:batch-48,queue_wait_time,0.0
batch:batch-48,processing_time,4.0
batch:batch-48,stages_count,3
batch:batch-48,completed,False
batch:batch-48,rejected,True
batch:batch-48,waited_in_queue,False
batch:batch-48,status,rejected
batch:batch-49,batch_id,batch-49
batch:batch-49,cycle_time,4.0
batch:batch-49,queue_wait_time,0.0
batch:batch-49,processing_time,4.0
batch:batch-49,stages_count,3
batch:batch-49,completed,False
batch:batch-49,rejected,True
batch:batch-49,waited_in_queue,False
batch:batch-49,status,rejected
batch:batch-50,batch_id,batch-50
batch:batch-50,cycle_time,66.0
batch:batch-50,queue_wait_time,0.0
batch:batch-50,processing_time,16.0
batch:batch-50,stages_count,3
batch:batch-50,completed,True
batch:batch-50,rejected,False
batch:batch-50,waited_in_queue,True
batch:batch-50,status,completed
batch:batch-51,batch_id,batch-51
batch:batch-51,cycle_time,5.0
batch:batch-51,queue_wait_time,1.0
batch:batch-51,processing_time,4.0
batch:batch-51,stages_count,3
batch:batch-51,completed,False
batch:batch-51,rejected,True
batch:batch-51,waited_in_queue,True
batch:batch-51,status,rejected
batch:batch-52,batch_id,batch-52
batch:batch-52,cycle_time,6.0
batch:batch-52,queue_wait_time,0.0
batch:batch-52,processing_time,4.0
batch:batch-52,stages_count,3
batch:batch-52,completed,False
batch:batch-52,rejected,True
batch:batch-52,waited_in_queue,False
batch:batch-52,status,rejected
batch:batch-53,batch_id,batch-53
batch:batch-53,cycle_time,66.0
batch:batch-53,queue_wait_time,0.0
batch:batch-53,processing_time,16.0
batch:batch-53,stages_count,3
batch:batch-53,completed,True
batch:batch-53,rejected,False
batch:batch-53,waited_in_queue,True
batch:batch-53,status,completed
batch:batch-54,batch_id,batch-54
batch:batch-54,cycle_time,7.0
batch:batch-54,queue_wait_time,0.0
batch:batch-54,processing_time,4.0
batch:batch-54,stages_count,3
batch:batch-54,completed,False
batch:batch-54,rejected,True
batch:batch-54,waited_in_queue,False
batch:batch-54,status,rejected
batch:batch-55,batch_id,batch-55
batch:batch-55,cycle_time,5.0
batch:batch-55,queue_wait_time,1.0
batch:batch-55,processing_time,4.0
batch:batch-55,stages_count,3
batch:batch-55,completed,False
batch:batch-55,rejected,True
batch:batch-55,waited_in_queue,True
batch:batch-55,status,rejected
batch:batch-56,batch_id,batch-56
batch:batch-56,cycle_time,5.0
batch:batch-56,queue_wait_time,0.0
batch:batch-56,processing_time,4.0
batch:batch-56,stages_count,3
batch:batch-56,completed,False
batch:batch-56,rejected,True
batch:batch-56,waited_in_queue,False
batch:batch-56,status,rejected
batch:batch-57,batch_id,batch-57
batch:batch-57,cycle_time,63.0
batch:batch-57,queue_wait_time,0.0
batch:batch-57,processing_time,16.0
batch:batch-57,stages_count,3
batch:batch-57,completed,True
batch:batch-57,rejected,False
batch:batch-57,waited_in_queue,True
batch:batch-57,status,completed
batch:batch-58,batch_id,batch-58
batch:batch-58,cycle_time,4.0
batch:batch-58,queue_wait_time,0.0
batch:batch-58,processing_time,4.0
batch:batch-58,stages_count,3
batch:batch-58,completed,False
batch:batch-58,rejected,True
batch:batch-58,waited_in_queue,False
batch:batch-58,status,rejected
batch:batch-59,batch_id,batch-59
batch:batch-59,cycle_time,4.0
batch:batch-59,queue_wait_time,0.0
batch:batch-59,processing_time,4.0
batch:batch-59,stages_count,3
batch:batch-59,completed,False
batch:batch-59,rejected,True
batch:batch-59,waited_in_queue,False
batch:batch-59,status,rejected
batch:batch-60,batch_id,batch-60
batch:batch-60,cycle_time,63.0
batch:batch-60,queue_wait_time,0.0
batch:batch-60,processing_time,16.0
batch:batch-60,stages_count,3
batch:batch-60,completed,True
batch:batch-60,rejected,False
batch:batch-60,waited_in_queue,True
batch:batch-60,status,completed
batch:batch-61,batch_id,batch-61
batch:batch-61,cycle_time,8.0
batch:batch-61,queue_wait_time,0.0
batch:batch-61,processing_time,4.0
batch:batch-61,stages_count,3
batch:batch-61,completed,False
batch:batch-61,rejected,True
batch:batch-61,waited_in_queue,False
batch:batch-61,status,rejected
batch:batch-62,batch_id,batch-62
batch:batch-62,cycle_time,67.0
batch:batch-62,queue_wait_time,2.0
batch:batch-62,processing_time,16.0
batch:batch-62,stages_count,3
batch:batch-62,completed,True
batch:batch-62,rejected,False
batch:batch-62,waited_in_queue,True
batch:batch-62,status,completed
batch:batch-63,batch_id,batch-63
batch:batch-63,cycle_time,12.0
batch:batch-63,queue_wait_time,1.0
batch:batch-63,processing_time,4.0
batch:batch-63,stages_count,3
batch:batch-63,completed,False
batch:batch-63,rejected,True
batch:batch-63,waited_in_queue,True
batch:batch-63,status,rejected
batch:batch-64,batch_id,batch-64
batch:batch-64,cycle_time,74.0
batch:batch-64,queue_wait_time,5.0
batch:batch-64,processing_time,16.0
batch:batch-64,stages_count,3
batch:batch-64,completed,True
batch:batch-64,rejected,False
batch:batch-64,waited_in_queue,True
batch:batch-64,status,completed
batch:batch-65,batch_id,batch-65
batch:batch-65,cycle_time,10.0
batch:batch-65,queue_wait_time,5.0
batch:batch-65,processing_time,4.0
batch:batch-65,stages_count,3
batch:batch-65,completed,False
batch:batch-65,rejected,True
batch:batch-65,waited_in_queue,True
batch:batch-65,status,rejected
batch:batch-66,batch_id,batch-66
batch:batch-66,cycle_time,8.0
batch:batch-66,queue_wait_time,4.0
batch:batch-66,processing_time,4.0
batch:batch-66,stages_count,3
batch:batch-66,completed,False
batch:batch-66,rejected,True
batch:batch-66,waited_in_queue,True
batch:batch-66,status,rejected
batch:batch-67,batch_id,batch-67
batch:batch-67,cycle_time,8.0
